Reviewed, UniProt_ID, Gene_Name, Gene_ID, Chromosome
Yes,Q8BYH7,Tbc1d17,233204,Chromosome:7
Yes,Q9SGY1,ABCB10,837611,Chromosome:1
Yes,Q8K2P7,Slc38a1,105727,Chromosome:15
Yes,Q8BVF7,Aph1a,226548,Chromosome:3
Yes,Q9D1T0,Lingo1,235402,Chromosome:9
Yes,Q8BGC4,Zadh2,225791,Chromosome:18
Yes,O88551,Cldn1,12737,Chromosome:16
Yes,Q62417,Sorbs1,20411,None
Yes,Q80UF4,Sdccag8,76816,Chromosome:1
Yes,Q6P902,Txndc2,213272,None
Yes,Q91YS8,Camk1,52163,Chromosome:6
Yes,Q8K0G5,Tssc1,380752,Chromosome:12
Yes,Q9D3R6,Katnal2,71206,Chromosome:18
Yes,Q9JLI7,Spag6,50525,Chromosome:16
Yes,P97766,Cfc1,12627,Chromosome:1
Yes,Q8VDB8,Lrrc2,74249,None
Yes,Q9ERS4,Plekha3,83435,Chromosome:2
Yes,Q99KK2,Cmas,12764,None
Yes,P08551,Nefl,18039,Chromosome:14
Yes,O89100,Grap2,17444,Chromosome:15
Yes,O88396,Grpel2,17714,Chromosome:18
Yes,Q8K3A0,Hscb,100900,None
Yes,Q61805,Lbp,16803,Chromosome:2
Yes,Q9Z1J3,Nfs1,18041,Chromosome:2
Yes,Q61140,Bcar1,12927,Chromosome:8
Yes,Q8K136,Scnm1,69269,Chromosome:3
Yes,Q91WE6,Cdkal1,68916,Chromosome:13
Yes,Q64279,Hand1,15110,Chromosome:11
Yes,Q9DAS9,Gng12,14701,Chromosome:6
Yes,Q8CFA7,Klf17,75753,Chromosome:4
Yes,Q9CU62,Smc1a,24061,None
Yes,Q9WUL7,Arl3,56350,Chromosome:19
Yes,Q9JJV0,Cryba4,12959,Chromosome:5
Yes,P55104,Inhbc,16325,Chromosome:10
Yes,O70293,Grk6,26385,Chromosome:13
Yes,Q9R059,Fhl3,14201,Chromosome:4
Yes,P35991,Btk,12229,None
Yes,Q9D2N4,Dtna,13527,Chromosome:18
Yes,P17564,Ppp1r15a,17872,Chromosome:7
Yes,A2A432,Cul4b,72584,None
Yes,Q3UA16,Spc25,66442,Chromosome:2
Yes,P27048,Snrpb,20638,Chromosome:2
Yes,Q8CGF7,Tcerg1,56070,Chromosome:18
Yes,P47955,Rplp1,56040,Chromosome:9
Yes,P35428,Hes1,15205,Chromosome:16
Yes,Q6NXY9,Polr3g,67486,Chromosome:13
Yes,Q8BMK1,Mettl2,52686,Chromosome:11
Yes,P23359,Bmp7,12162,Chromosome:2
Yes,O70299,Mab21l1,17116,Chromosome:3
Yes,O35495,Cdk14,18647,Chromosome:5
Yes,Q9D4V0,Etnk1,75320,Chromosome:6
Yes,Q9LKF9,CPSF100,832453,Chromosome:5
Yes,B2RY04,Dock5,68813,Chromosome:14
Yes,Q9R061,Nubp2,26426,Chromosome:17
Yes,Q63ZV0,Insm1,53626,Chromosome:2
Yes,Q64475,Hist1h2bb,319178,Chromosome:13
Yes,Q80UN9,Trit1,66966,Chromosome:4
Yes,Q5DU25,Iqsec2,245666,None
Yes,P14211,Calr,12317,Chromosome:8
Yes,Q9D0B8,Ribc1,66611,None
Yes,Q8BHP2,Nutm1,213765,Chromosome:2
Yes,O08899,Rgs4,19736,None
Yes,Q9CWW6,Pin4,105247253,None
Yes,Q99MU3,Adar,56417,Chromosome:3
Yes,Q3UZY0,Sfi1,78887,Chromosome:11
Yes,Q3U0S6,Rasip1,69903,Chromosome:7
Yes,Q6P9R2,Oxsr1,108737,Chromosome:9
Yes,P47239,Pax7,18509,Chromosome:4
Yes,Q05A36,Mex3c,240396,Chromosome:18
Yes,Q8K4F5,Abhd11,68758,Chromosome:5
Yes,P34902,Il2rg,16186,None
Yes,O88851,Rbbp9,26450,Chromosome:2
Yes,P35374,Agtr2,11609,None
Yes,Q8K0S0,Phyhip,105653,Chromosome:14
Yes,Q99KR6,Rnf34,80751,Chromosome:5
Yes,P63163,Snrpn,20646,Chromosome:7
Yes,Q62465,Vat1,26949,Chromosome:11
Yes,P06151,Ldha,16828,Chromosome:7
Yes,O70491,Stra6,20897,None
Yes,Q9C512,MNS1,841584,Chromosome:1
Yes,Q6X893,Slc44a1,100434,Chromosome:4
Yes,Q04692,Smarcad1,13990,Chromosome:6
Yes,A2A5K6,Znf335,329559,Chromosome:2
Yes,Q61733,Mrps31,57312,Chromosome:8
Yes,Q9QYB2,Dach1,13134,Chromosome:14
Yes,Q8VHQ3,Ppp1r16b,228852,Chromosome:2
Yes,P09631,Hoxa9,15405,Chromosome:6
Yes,Q8VCQ6,Sgms1,208449,Chromosome:19
Yes,P23242,Gja1,14609,Chromosome:10
Yes,Q7TQE7,Kiaa0895,68283,Chromosome:9
Yes,O54956,Pole2,18974,Chromosome:12
Yes,Q84L32,RAD23A,838188,Chromosome:1
Yes,Q80U35,Arhgef17,207212,Chromosome:7
Yes,Q80W00,Ppp1r10,52040,Chromosome:17
Yes,Q8VE22,Mrps23,64656,Chromosome:11
Yes,Q8VI24,Satb2,212712,Chromosome:1
Yes,O08848,Trove2,20822,Chromosome:1
Yes,Q9EQ14,Il23a,83430,Chromosome:10
Yes,Q69ZS7,Hbs1l,56422,Chromosome:10
Yes,Q8K2J9,Btbd6,399566,Chromosome:12
Yes,Q922B2,Dars,226414,Chromosome:1
Yes,Q62070,Pim2,18715,None
Yes,P39054,Dnm2,13430,Chromosome:9
Yes,P51412,RPL21,840472,Chromosome:1
Yes,Q62521,Zic3,22773,None
Yes,Q8K4Z6,Gprc6a,210198,Chromosome:10
Yes,P43431,Il12a,16159,Chromosome:3
Yes,Q8BFW9,Slc2a12,353169,Chromosome:10
Yes,O88291,Znf326,54367,None
Yes,Q9CYG7,Tomm34,67145,Chromosome:2
Yes,Q91VT1,Nsmce2,68501,Chromosome:15
Yes,Q91WD1,Polr3d,67065,Chromosome:14
Yes,Q8BJW7,Eme1,268465,Chromosome:11
Yes,Q9WUR9,Ak4,11639,Chromosome:4
Yes,O35177,Nedd9,18003,Chromosome:13
Yes,P62325,Btg1,12226,Chromosome:10
Yes,Q9R0G7,Zeb2,24136,Chromosome:2
Yes,Q61772,Epha7,13841,Chromosome:4
Yes,Q01822,Hoxd1,15429,Chromosome:2
Yes,Q8VIK2,Mpv17l2,234384,Chromosome:8
Yes,Q05769,Ptgs2,19225,Chromosome:1
Yes,P07742,Rrm1,20133,Chromosome:7
Yes,Q3U507,Gpr174,213439,None
Yes,Q9JJT9,Phax,56698,Chromosome:18
Yes,A2AGH6,Med12,59024,None
Yes,Q60795,Nfe2l2,18024,Chromosome:2
Yes,Q5U465,Ccdc125,76041,Chromosome:13
Yes,Q6PE54,Dhx40,67487,Chromosome:11
Yes,Q9Z2L7,Crlf3,54394,Chromosome:11
Yes,Q3TMP8,Tmem38a,74166,Chromosome:8
Yes,P97460,Npas2,18143,None
Yes,Q04592,Pcsk5,18552,Chromosome:19
Yes,Q0VAV2,Exph5,320051,Chromosome:9
Yes,Q8BYL4,Yars2,70120,Chromosome:16
Yes,F4I2H7,TPX2,839140,Chromosome:1
Yes,Q9CQ75,Ndufa2,17991,Chromosome:18
Yes,Q9SE50,BGLU18,841670,Chromosome:1
Yes,Q8BIF0,Cd99l2,171486,None
Yes,P61082,Ube2m,22192,Chromosome:7
Yes,Q8R2I0,Foxe1,110805,Chromosome:4
Yes,Q8VIH7,Cyyr1,224405,Chromosome:16
Yes,Q99KP6,Prpf19,28000,Chromosome:19
Yes,O55029,Copb2,50797,Chromosome:9
Yes,P48754,Brca1,12189,Chromosome:11
Yes,Q9QX98,Ptf1a,19213,Chromosome:2
Yes,P70333,Hnrnph2,56258,None
Yes,P42925,Pxmp2,19301,None
Yes,Q9R0P6,Sec11a,56529,Chromosome:7
Yes,Q8VEE1,Lmcd1,30937,Chromosome:6
Yes,Q6ZQF0,Topbp1,235559,Chromosome:9
Yes,Q8R5F7,Ifih1,71586,Chromosome:2
Yes,P60762,Morf4l1,21761,Chromosome:9
Yes,P97402,Gcnt2,14538,Chromosome:13
Yes,P85094,Isoc2a,664994,Chromosome:7
Yes,Q9Z204,Hnrnpc,15381,Chromosome:14
Yes,P04756,Chrna1,11435,Chromosome:2
Yes,Q9WUF3,Casp8ap2,26885,Chromosome:4
Yes,Q9DAW9,Cnn3,71994,Chromosome:3
Yes,O54926,Siva1,30954,Chromosome:12
Yes,O50061,RPL4,837243,Chromosome:1
Yes,O70372,Tert,21752,Chromosome:13
Yes,Q8BP00,Iqcb1,320299,Chromosome:16
Yes,P14873,Map1b,17755,Chromosome:13
Yes,Q8BNI4,Derl2,116891,Chromosome:11
Yes,Q8K057,Ift80,68259,Chromosome:3
Yes,Q925I1,Atad3,108888,Chromosome:4
Yes,Q8BGE4,Susd6,217684,Chromosome:12
Yes,Q07104,Gdf3,14562,Chromosome:6
Yes,Q9CQU3,Rer1,67830,Chromosome:4
Yes,P49717,Mcm4,17217,Chromosome:16
Yes,P62274,Rps29,20090,Chromosome:12
Yes,Q80Z64,Nanog,71950,Chromosome:6
Yes,Q9ERE3,Sgk3,170755,Chromosome:1
Yes,O35885,Ascl2,17173,Chromosome:7
Yes,Q9D2H6,Sp2,78912,None
Yes,P62311,Lsm3,67678,Chromosome:6
Yes,Q9D9K3,Aven,74268,Chromosome:2
Yes,Q8CG85,Mamdc2,71738,None
Yes,Q8K007,Sulf1,240725,Chromosome:1
Yes,Q9Z1R2,Bag6,224727,Chromosome:17
Yes,Q61572,Foxc1,17300,Chromosome:13
Yes,Q9WV07,Aloxe3,23801,Chromosome:11
Yes,Q69ZW3,Ehbp1,216565,Chromosome:11
Yes,Q00915,Rbp1,19659,Chromosome:9
Yes,Q6P5F9,Xpo1,103573,Chromosome:11
Yes,Q41931,ACO2,842536,Chromosome:1
Yes,Q64522,Hist2h2ab,621893,Chromosome:3
Yes,P25916,Bmi1,12151,Chromosome:2
Yes,Q62167,Ddx3x,13205,None
Yes,Q8BLX7,Col16a1,107581,Chromosome:4
Yes,P32114,Pax2,18504,None
Yes,Q7TNC4,Luc7l2,192196,Chromosome:6
Yes,Q80XI6,Map3k11,26403,Chromosome:19
Yes,Q8C1A5,Thop1,50492,None
Yes,Q8K4G5,Ablim1,226251,Chromosome:19
Yes,Q8CH09,Sugp2,234373,Chromosome:8
Yes,Q711T7,Nadsyn1,78914,Chromosome:7
Yes,Q8VEH6,Cbwd1,226043,Chromosome:19
Yes,Q06507,Atf4,11911,Chromosome:15
Yes,P10761,Zp3,22788,Chromosome:5
Yes,Q9D2A5,Creb3l4,78284,Chromosome:3
Yes,Q8CHI8,Ep400,75560,Chromosome:5
Yes,Q6VMN6,Prlhr,226278,Chromosome:19
Yes,Q99JZ7,Errfi1,74155,Chromosome:4
Yes,Q62093,Srsf2,20382,Chromosome:11
Yes,Q9D2Z4,Senp8,71599,Chromosome:9
Yes,P61372,Isl1,16392,Chromosome:13
Yes,Q9JK91,Mlh1,17350,Chromosome:9
Yes,Q6ZWY8,Tmsb10,19240,Chromosome:6
Yes,P97822,Anp32e,66471,Chromosome:3
Yes,Q9CYZ8,Ssbp2,66970,Chromosome:13
Yes,Q9D1M4,Eef1e1,66143,Chromosome:13
Yes,Q99JX3,Gorasp2,70231,Chromosome:2
Yes,Q80XF5,Il22ra2,237310,Chromosome:10
Yes,Q9ESB3,Hrg,94175,None
Yes,A2ARV4,Lrp2,14725,Chromosome:2
Yes,P23772,Gata3,14462,Chromosome:2
Yes,Q9Z1Z0,Uso1,56041,Chromosome:5
Yes,O70139,Pkig,18769,Chromosome:2
Yes,A2AUC9,Klhl41,228003,Chromosome:2
Yes,P15066,Jund,16478,Chromosome:8
Yes,Q8BUV3,Gphn,268566,Chromosome:12
Yes,Q9WTL2,Rab25,53868,Chromosome:3
Yes,O08908,Pik3r2,18709,Chromosome:8
Yes,Q8R1S4,Mtss1,211401,None
Yes,O88741,Gdap1,14545,Chromosome:1
Yes,Q99PE9,Arl4d,80981,Chromosome:11
Yes,Q9D6L8,Ppil3,70225,Chromosome:1
Yes,P83882,Rpl36a,19982,Chromosome:12
Yes,Q64446,Atp7b,11979,Chromosome:8
Yes,Q99N13,Hdac9,79221,None
Yes,Q91XL3,Uxs1,67883,Chromosome:1
Yes,Q8K5B8,Hoxc12,15421,Chromosome:15
Yes,Q9Z0F0,B3galt4,54218,Chromosome:17
Yes,Q6RFH4,Gcsam,14525,Chromosome:16
Yes,P11983,Tcp1,21454,Chromosome:17
Yes,P70158,Smpdl3a,57319,Chromosome:10
Yes,Q9R0M4,Podxl,27205,Chromosome:6
Yes,Q9JHI4,Slc13a1,55961,Chromosome:6
Yes,D3YZP9,Ccdc6,76551,Chromosome:10
Yes,Q9FV53,PDF1A,838109,Chromosome:1
Yes,Q9CQH0,Pdzk1ip1,67182,Chromosome:4
Yes,Q99P25,Tsnaxip1,72236,Chromosome:8
Yes,Q9R1E6,Enpp2,18606,Chromosome:15
Yes,P34968,Htr2c,15560,None
Yes,Q9JKP7,Pole3,59001,None
Yes,Q80YQ2,Med23,70208,None
Yes,O35160,Pitx3,18742,Chromosome:19
Yes,P11531,Dmd,13405,None
Yes,Q99P88,Nup155,170762,Chromosome:15
Yes,P51655,Gpc4,14735,None
Yes,Q9EP82,Wdr4,57773,None
Yes,Q8BHL3,Tbc1d10b,68449,Chromosome:7
Yes,Q9Z1F6,Lect1,16840,Chromosome:14
Yes,P33611,Pola2,18969,Chromosome:19
Yes,Q9D4V7,Rabl3,67657,Chromosome:16
Yes,Q60929,Mef2a,17258,Chromosome:7
Yes,Q9CQI9,Med30,69790,Chromosome:15
Yes,Q94KD3,VPS52,843468,Chromosome:1
Yes,P43300,Egr3,13655,Chromosome:14
Yes,Q9D1E8,Agpat5,52123,Chromosome:8
Yes,Q9D7G0,Prps1,19139,None
Yes,Q58A65,Spag9,70834,Chromosome:11
Yes,Q68FE9,Tshz2,228911,Chromosome:2
Yes,Q8CG16,C1ra,50909,Chromosome:6
Yes,P70217,Hoxd13,15433,Chromosome:2
Yes,Q8BGE7,Trim6,94088,Chromosome:7
Yes,Q61909,Runx1t1,12395,Chromosome:4
Yes,Q6AXC6,Ddx11,320209,Chromosome:17
Yes,Q60738,Slc30a1,22782,Chromosome:1
Yes,Q6ZPI0,Jade1,269424,Chromosome:3
Yes,P00375,Dhfr,13361,Chromosome:13
Yes,Q9R0Q4,Morf4l2,56397,None
Yes,O88566,Axin2,12006,Chromosome:11
Yes,O09173,Hgd,15233,Chromosome:16
Yes,P14148,Rpl7,19989,Chromosome:1
Yes,Q60848,Hells,15201,Chromosome:19
Yes,Q9XGZ0,NADP,832657,Chromosome:5
Yes,Q9Z127,Slc7a5,20539,Chromosome:8
Yes,Q499D0,Foxn3,71375,Chromosome:12
Yes,Q9D273,Mmab,77697,Chromosome:5
Yes,P25322,Ccnd1,12443,Chromosome:7
Yes,O09061,Psmb1,19170,Chromosome:17
Yes,P07903,Ercc1,13870,Chromosome:7
Yes,Q9DC33,Hmg20a,66867,Chromosome:9
Yes,P24288,Bcat1,12035,Chromosome:6
Yes,Q925J9,Med1,19014,Chromosome:11
Yes,Q9CR00,Psmd9,67151,Chromosome:5
Yes,Q6P3D7,Spic,20728,Chromosome:10
Yes,P02340,Tp53,22059,Chromosome:11
Yes,Q91VD9,Ndufs1,227197,Chromosome:1
Yes,Q61180,Scnn1a,20276,None
Yes,Q61191,Hcfc1,15161,None
Yes,O54984,Asna1,56495,Chromosome:8
Yes,Q3V1L4,Nt5c2,76952,Chromosome:19
Yes,Q3UM45,Ppp1r7,66385,Chromosome:1
Yes,Q80UP5,Ankrd13a,68420,Chromosome:5
Yes,Q9WTP7,Ak3,56248,Chromosome:19
Yes,Q9C8Y3,RGL1,842953,Chromosome:1
Yes,Q64521,Gpd2,14571,Chromosome:2
Yes,Q8C163,Exog,208194,Chromosome:9
Yes,Q9JJ66,Cdc20,107995,Chromosome:4
Yes,P63015,Pax6,18508,Chromosome:2
Yes,Q9WTK7,Stk11,20869,Chromosome:10
Yes,Q60749,Khdrbs1,20218,Chromosome:4
Yes,P01108,Myc,17869,Chromosome:15
Yes,Q80YG3,Klhdc1,271005,Chromosome:12
Yes,Q9CQH3,Ndufb5,66046,Chromosome:3
Yes,Q9SL95,MOT1,817109,Chromosome:2
Yes,P09092,Hoxa6,15403,Chromosome:6
Yes,Q9DBE0,Csad,246277,Chromosome:15
Yes,Q99PM9,Uck2,80914,Chromosome:1
Yes,P10284,Hoxb4,15412,Chromosome:11
Yes,Q99LI5,Znf281,226442,Chromosome:1
Yes,Q9EQS9,Igdcc4,56741,Chromosome:9
Yes,P51906,Slc1a1,20510,Chromosome:19
Yes,O35426,Xbp1,22433,Chromosome:11
Yes,Q01320,Top2a,21973,Chromosome:11
Yes,P0C0S6,H2afz,51788,Chromosome:3
Yes,Q71FD5,Znrf2,387524,Chromosome:6
Yes,Q8VDK1,Nit1,27045,Chromosome:1
Yes,Q62141,Sin3b,20467,Chromosome:8
Yes,Q9CQR6,Ppp6c,67857,Chromosome:2
Yes,Q61858,Gpank1,81845,Chromosome:17
Yes,Q4FZF3,Ddx49,234374,Chromosome:8
Yes,Q64692,St8sia4,20452,Chromosome:1
Yes,P97329,Kif20a,19348,Chromosome:18
Yes,P61750,Arf4,11843,Chromosome:14
Yes,Q8LPT1,ABCB6,818533,Chromosome:2
Yes,Q8K1S6,Spire2,234857,Chromosome:8
Yes,Q9Z207,Diaph3,56419,Chromosome:14
Yes,Q9D1E6,Tbcb,66411,Chromosome:7
Yes,O70161,Pip5k1c,18717,Chromosome:10
Yes,Q61286,Tcf12,21406,Chromosome:9
Yes,Q9CW46,Raver1,71766,Chromosome:9
Yes,Q80UN1,Kctd9,105440,Chromosome:14
Yes,P58252,Eef2,13629,Chromosome:10
Yes,P00920,Ca2,12349,Chromosome:3
Yes,P22091,Tal1,21349,Chromosome:4
Yes,B2RS91,Rrn3,106298,Chromosome:16
Yes,P47754,Capza2,12343,Chromosome:6
Yes,Q8CFZ4,Gpc3,14734,None
Yes,Q8R1M2,H2afj,232440,Chromosome:6
Yes,P97492,Rgs14,51791,Chromosome:13
Yes,Q3TQF0,Fbxo31,76454,Chromosome:8
Yes,P48377,Rfx1,19724,Chromosome:8
Yes,Q8BVR6,Rspry1,67610,Chromosome:8
Yes,O88271,Cfdp1,23837,Chromosome:8
Yes,P33434,Mmp2,17390,Chromosome:8
Yes,Q64318,Zeb1,21417,Chromosome:18
Yes,Q61133,Gstt2,14872,Chromosome:10
Yes,O54709,Klrk1,27007,Chromosome:6
Yes,Q2LAE1,ASHH2,844066,Chromosome:1
Yes,Q921M3,Sf3b3,101943,Chromosome:8
Yes,P18760,Cfl1,12631,None
Yes,Q60715,P4ha1,18451,Chromosome:10
Yes,Q04735,Cdk16,18555,None
Yes,P55258,Rab8a,17274,Chromosome:8
Yes,Q9Z0W3,Nup160,59015,Chromosome:2
Yes,P40764,Dlx2,13392,Chromosome:2
Yes,Q6NZB0,Dnajc8,68598,Chromosome:4
Yes,Q80YN3,Bcas1,76960,Chromosome:2
Yes,Q9JI70,Mkks,59030,Chromosome:2
Yes,O35740,Cited2,17684,Chromosome:10
Yes,Q8R3L8,Cdk8,264064,Chromosome:5
Yes,O55229,Chkb,12651,Chromosome:15
Yes,Q7TPD1,Fbxo11,225055,Chromosome:17
Yes,Q8VCE4,225995,Chromosome:19
Yes,Q8R0L1,Stap2,106766,Chromosome:17
Yes,P97493,Txn2,56551,Chromosome:15
Yes,P41778,Pbx1,18514,Chromosome:1
Yes,Q9QZK7,Dok3,27261,Chromosome:13
Yes,Q80TN4,Dnajc16,214063,Chromosome:4
Yes,P70318,Tial1,21843,Chromosome:7
Yes,Q8CGY8,Ogt,108155,None
Yes,Q8JZP9,Gas2l1,78926,Chromosome:11
Yes,Q9CB01,RABF1,824649,Chromosome:3
Yes,Q8BSK8,Rps6kb1,72508,Chromosome:11
Yes,Q8BX35,Eda2r,245527,None
Yes,P63085,Mapk1,26413,Chromosome:16
Yes,Q8BNE1,Tcaf1,77574,Chromosome:6
Yes,Q9WUN2,Tbk1,56480,Chromosome:10
Yes,Q8LED3,TBL3,830298,Chromosome:5
Yes,O35464,Sema6a,20358,Chromosome:18
Yes,O54828,Rgs9,19739,Chromosome:11
Yes,Q61124,Cln3,12752,Chromosome:7
Yes,O88876,Dhrs3,20148,Chromosome:4
Yes,Q9D0K1,Pex13,72129,Chromosome:11
Yes,Q9WVC6,Sgk1,20393,Chromosome:10
Yes,P47877,Igfbp2,16008,Chromosome:1
Yes,Q5SSI6,Utp18,217109,Chromosome:11
Yes,P36993,Ppm1b,19043,Chromosome:17
Yes,P27040,Acvr2b,11481,Chromosome:9
Yes,Q9JJ93,58248,Chromosome:14
Yes,Q5PSV9,Mdc1,240087,None
Yes,Q9QUK6,Tlr4,21898,Chromosome:4
Yes,Q921J4,Ube2s,77891,Chromosome:7
Yes,Q99N92,Mrpl27,94064,Chromosome:11
Yes,O70220,Foxq1,15220,Chromosome:13
Yes,F4K4E3,LSM4,832834,Chromosome:5
Yes,Q99P21,Mutyh,70603,Chromosome:4
Yes,Q8C0D7,Ing4,28019,Chromosome:6
Yes,Q64732,Foxb1,64290,Chromosome:9
Yes,Q8R1X6,Spg20,229285,Chromosome:3
Yes,P17950,Ier2,15936,Chromosome:8
Yes,Q8R373,Clmp,71566,Chromosome:9
Yes,Q91WE2,Fam192a,102122,Chromosome:8
Yes,P62077,Timm8b,30057,Chromosome:9
Yes,Q8C437,Pex5l,58869,Chromosome:3
Yes,Q9Z1F9,Uba2,50995,Chromosome:7
Yes,Q8JZV9,Bdh2,69772,Chromosome:3
Yes,Q8BRH3,Arhgap19,71085,Chromosome:19
Yes,Q9Z1R3,Apom,55938,Chromosome:17
Yes,Q02085,Snai1,20613,Chromosome:2
Yes,Q3UYV9,Ncbp1,433702,Chromosome:4
Yes,P62983,Rps27a,100042019,Chromosome:11
Yes,Q9QZN1,Fbxl17,50758,Chromosome:17
Yes,Q6NZP1,Zranb3,226409,Chromosome:1
Yes,Q60954,Meis1,17268,Chromosome:11
Yes,Q9JKN1,Slc30a7,66500,Chromosome:3
Yes,Q9FHF1,ABCB7,834697,Chromosome:5
Yes,P17918,Pcna,18538,Chromosome:2
Yes,Q64317,Dlx1,13390,Chromosome:2
Yes,Q8QZR0,Tram1l1,229801,Chromosome:3
Yes,Q6GSS7,Hist2h2aa1,15267,Chromosome:3
Yes,Q6P9P6,Kif11,16551,Chromosome:19
Yes,Q9JLV5,Cul3,26554,Chromosome:1
Yes,Q9SEL6,VTI11,833947,Chromosome:5
Yes,O35942,Nek2,18005,Chromosome:1
Yes,Q7XYY2,MED25,839141,Chromosome:1
Yes,Q61333,Tnfaip2,21928,Chromosome:12
Yes,P37237,Fgf8,14179,Chromosome:19
Yes,O35640,Anxa8,11752,Chromosome:14
Yes,Q9JKF6,Nectin1,58235,Chromosome:9
Yes,P56476,Gabrr2,14409,Chromosome:4
Yes,P47878,Igfbp3,16009,Chromosome:11
Yes,Q64524,Hist2h2be,319190,Chromosome:3
Yes,P97299,Sfrp2,20319,Chromosome:3
Yes,Q8VEH5,Epm2aip1,77781,Chromosome:9
Yes,Q80W31,Znf569,72723,Chromosome:7
Yes,Q9DCD2,Xab2,67439,Chromosome:8
Yes,Q63829,Commd3,12238,Chromosome:2
Yes,P16054,Prkce,18754,Chromosome:17
Yes,Q99NG0,Rad54l2,81000,None
Yes,Q8R2U6,Nudt4,71207,Chromosome:10
Yes,Q9D3W1,Rsph14,71236,Chromosome:10
Yes,Q80WC9,Aasdh,231326,Chromosome:5
Yes,Q62394,Znf185,22673,None
Yes,P47713,Pla2g4a,18783,Chromosome:1
Yes,Q5SX19,Pigl,327942,Chromosome:11
Yes,Q8K025,Frat2,212398,Chromosome:19
Yes,P47867,Scg3,20255,Chromosome:9
Yes,P30558,F2r,14062,Chromosome:13
Yes,Q9QZW0,Atp11c,320940,None
Yes,P62515,Pou3f4,18994,None
Yes,Q8BGA5,Krr1,52705,Chromosome:10
Yes,Q9Z139,Ror1,26563,Chromosome:4
Yes,Q42472,GAD2,842908,Chromosome:1
Yes,Q9JI11,Stk4,58231,Chromosome:2
Yes,Q64311,Ntan1,18203,Chromosome:16
Yes,Q9D0P8,Ift27,67042,Chromosome:15
Yes,Q62424,Hoxa13,15398,None
Yes,Q99MV7,Rnf17,30054,Chromosome:14
Yes,P16388,Kcna1,16485,Chromosome:6
Yes,P59808,Sash1,70097,None
Yes,Q8BK72,Mrps27,218506,Chromosome:13
Yes,Q8C4U3,Sfrp1,20377,Chromosome:8
Yes,P25206,Mcm3,17215,Chromosome:1
Yes,Q9CQU0,Txndc12,66073,Chromosome:4
Yes,Q04744,Emx2,13797,Chromosome:19
Yes,Q6PFG8,Olig3,94222,Chromosome:10
Yes,Q8BGD4,Slco4c1,227394,Chromosome:1
Yes,Q99LW6,Yaf2,67057,Chromosome:15
Yes,Q8CGZ0,Cherp,27967,None
Yes,Q8BH57,Wdr48,67561,Chromosome:9
Yes,Q69ZM6,Stk36,269209,Chromosome:1
Yes,O55233,Cer1,12622,Chromosome:4
Yes,Q6P9Q4,Fhod1,234686,Chromosome:8
Yes,P35700,Prdx1,18477,Chromosome:4
Yes,P18155,Mthfd2,17768,Chromosome:6
Yes,Q9D5R2,Wdr20,70948,Chromosome:12
Yes,Q9ER80,Rtp4,67775,Chromosome:16
Yes,Q7TMK9,Syncrip,56403,Chromosome:9
Yes,P51860,Nap1l2,17954,None
Yes,Q9D1Q1,Mphosph6,68533,Chromosome:8
Yes,P17742,Ppia,268373,Chromosome:11
Yes,Q8CI32,Bag5,70369,Chromosome:12
Yes,P27782,Lef1,16842,Chromosome:3
Yes,Q6VN19,Ranbp10,74334,None
Yes,O08747,Unc5c,22253,Chromosome:3
Yes,Q80U56,Avl9,78937,Chromosome:6
Yes,P60335,Pcbp1,23983,Chromosome:6
Yes,Q62226,Shh,20423,Chromosome:5
Yes,Q9Z179,Shcbp1,20419,Chromosome:8
Yes,Q9FLT2,IPK2b,836298,Chromosome:5
Yes,P84244,H3f3a,15078,Chromosome:1
Yes,Q3TX51,Lrrc28,67867,Chromosome:7
Yes,O09106,Hdac1,433759,Chromosome:4
Yes,Q9SB64,NBR1,828571,Chromosome:4
Yes,P05532,Kit,16590,Chromosome:5
Yes,P97313,Prkdc,19090,Chromosome:16
Yes,Q6PFY9,Cdc14b,218294,Chromosome:13
Yes,Q9CXV1,Sdhd,66925,Chromosome:9
Yes,Q8R081,Hnrnpl,15388,Chromosome:7
Yes,Q14AI0,DSCC1,72107,Chromosome:15
Yes,Q8BMD5,Cdadc1,71891,Chromosome:14
Yes,Q91WR3,Ascc2,75452,Chromosome:11
Yes,Q3U186,Rars2,109093,Chromosome:4
Yes,Q8CCT7,Nsun3,106338,Chromosome:16
Yes,Q8VHG0,Fmo4,226564,Chromosome:1
Yes,Q6NZQ2,Ddx31,227674,Chromosome:2
Yes,Q8BGI1,Rnf24,51902,Chromosome:2
Yes,Q8C0C7,Farsa,66590,Chromosome:8
Yes,Q91Y86,Mapk8,26419,Chromosome:14
Yes,Q7TT52,Ppp1r14d,72112,Chromosome:2
Yes,P41245,Mmp9,17395,Chromosome:2
Yes,P55200,Kmt2a,214162,Chromosome:9
Yes,Q9WVJ5,Crybb1,12960,Chromosome:5
Yes,Q69ZB0,Lrrcc1,71710,None
Yes,P83917,Cbx1,12412,Chromosome:11
Yes,Q6PFE3,Rad54b,623474,Chromosome:4
Yes,Q9CXV0,Isl2,104360,Chromosome:9
Yes,P10417,Bcl2,12043,Chromosome:1
Yes,O55234,Psmb5,19173,Chromosome:14
Yes,Q8RVL2,DEK1,841981,Chromosome:1
Yes,Q8BMJ8,Sp8,320145,Chromosome:12
